_id,_score,productId,score,helpfulness_ratio,time,summary
UuImNJkBLDnO6wEz5JH7,17.345715,B000AY9OZS,5.0,,1330646400,Inspiring!
DtsjNJkBLDnO6wEznI_g,16.945086,B00008G5K4,5.0,0.75,939772800,Inspiring
dL0SNJkBLDnO6wEzfkxx,16.945086,B00002066I,5.0,0.75,939772800,Inspiring
ctEcNJkBLDnO6wEzyyrl,16.26425,B000002B5A,5.0,0.0,1012176000,Inspiring
dNEcNJkBLDnO6wEzyyvl,16.26425,B000002B5B,5.0,0.0,1012176000,Inspiring
c9ghNJkBLDnO6wEzpeJy,16.066643,B00006FIC4,5.0,,1341792000,Inspiring!
KdghNJkBLDnO6wEzpuNy,16.066643,B00006FIC9,5.0,,1341792000,Inspiring!
jcAUNJkBLDnO6wEzK5L4,15.822214,B00000DCWJ,5.0,1.0,944524800,inspiring
_vQvNJkBLDnO6wEzbQLZ,15.822214,B00000DM0B,5.0,1.0,944524800,inspiring
ERE-NJkBLDnO6wEzIQ2c,15.672971,B00006RJV7,5.0,,1104192000,Inspiring voice
DMoZNJkBLDnO6wEzZiUo,15.491227,B00000EAVI,5.0,1.0,1113091200,Inspiring
1uImNJkBLDnO6wEzsg9P,15.491227,B00008ERPE,5.0,1.0,1113091200,Inspiring
UAI2NJkBLDnO6wEzz1b5,15.491227,B00000282W,5.0,1.0,1113091200,Inspiring
vesrNJkBLDnO6wEz2_m_,15.491227,B000L0PPFO,5.0,1.0,1113091200,Inspiring
yeUoNJkBLDnO6wEzSxwi,15.340605,B00000EFE4,5.0,0.8,921369600,Soul Inspiring!
qcsaNJkBLDnO6wEzLZoU,15.340605,B00008ENA8,5.0,0.8,921369600,Soul Inspiring!
GusrNJkBLDnO6wEzx7pA,15.340605,B00008ET95,5.0,0.8,921369600,Soul Inspiring!
gNYgNJkBLDnO6wEzd6fv,15.340605,B000005JN2,5.0,0.8,921369600,Soul Inspiring!
w-UoNJkBLDnO6wEznqfJ,15.224049,B000056Q0U,5.0,,979516800,Spiritually Inspiring
JvoyNJkBLDnO6wEzfQP7,15.002881,B00000JIKY,5.0,,1358380800,"inspiring, and tranquil"
mPQvNJkBLDnO6wEz1sIu,14.932478,B00004U54H,5.0,,965260800,Inspiring and Healing!
HOsrNJkBLDnO6wEzqFyB,14.666035,B000063946,5.0,1.0,1016496000,Youth Inspiring!!!!!
sAQ3NJkBLDnO6wEz_swt,14.541244,B000RGUHIM,5.0,,1224547200,Motivating and Inspiring
9hA9NJkBLDnO6wEzxE3w,14.306812,B000KP63AQ,5.0,,1242172800,Inspiring and Uplifting
sQE2NJkBLDnO6wEzX4vT,13.890617,B00004YNCA,5.0,,1320451200,Inspiring & Uplifting
HgE2NJkBLDnO6wEzYY8O,13.890617,B00004YNCB,5.0,,1320451200,Inspiring & Uplifting
b8waNJkBLDnO6wEznZRi,13.8027115,B000HDRARQ,5.0,0.0,1287792000,Awesome & Inspiring CD
PsUWNJkBLDnO6wEz0Vr4,13.705051,B000IJ7A92,5.0,1.0,1188691200,Fun and Inspiring
RgQ3NJkBLDnO6wEzzJ5M,13.61031,B000NA2866,5.0,1.0,1215043200,"Beautiful, inspiring, soulful as always"
IcMVNJkBLDnO6wEz7PvC,13.607924,B000BWENA0,5.0,,962582400,Inspiring...
dww7NJkBLDnO6wEz2DuM,13.607924,B00004TQXJ,5.0,,962582400,Inspiring...
WtkiNJkBLDnO6wEzKpCG,13.532415,B0000DEP4L,4.0,1.0,1006646400,inspiring songs
cP00NJkBLDnO6wEzInw1,13.532415,B00005R1Q6,4.0,1.0,1006646400,inspiring songs
kf00NJkBLDnO6wEzIn7M,13.532415,B00005R1Q7,4.0,1.0,1006646400,inspiring songs
R-UoNJkBLDnO6wEztugR,13.532415,B00005QDVS,4.0,1.0,1006646400,inspiring songs
6N0kNJkBLDnO6wEz7O6a,13.532415,B00005U2JW,4.0,1.0,1006646400,inspiring songs
rgc5NJkBLDnO6wEzapFC,13.448214,B00000G1BI,5.0,1.0,923961600,"uplifting,heartfelt, relaxing and inspiring."
PsIVNJkBLDnO6wEzObNZ,13.371401,B0000262WI,5.0,1.0,1209945600,Awe-Inspiring
wNIdNJkBLDnO6wEz_vE_,13.371401,B00008KJU5,5.0,1.0,1209945600,Awe-Inspiring
_uAmNJkBLDnO6wEzAhnu,13.371401,B000AA7DZA,5.0,1.0,1209945600,Awe-Inspiring
Dr4SNJkBLDnO6wEz-mId,13.371401,B00000ERO9,5.0,1.0,1209945600,Awe-Inspiring
qPQvNJkBLDnO6wEzcAzG,13.371401,B0000031PF,5.0,1.0,1209945600,Awe-Inspiring
ScQWNJkBLDnO6wEzRlPz,13.079842,B00000DD29,5.0,1.0,991872000,Absolutely inspiring
hv40NJkBLDnO6wEz5v5c,13.079842,B00000EKKC,5.0,1.0,991872000,Absolutely inspiring
veQoNJkBLDnO6wEzHKoG,12.859107,B00000IIUE,5.0,1.0,928281600,"IT IS FUNKY, TRENDY ,INSPIRING AND GOD GLORIFING"
