_id,_score,productId,score,helpfulness_ratio,time,summary
OdIdNJkBLDnO6wEzoJFn,10.545583,B000069V2J,5.0,1.0,1034726400,Keep an eye on these guys
Xr8TNJkBLDnO6wEzoZ99,10.323811,B00004S36S,4.0,1.0,1006819200,buzz buzz
pb8TNJkBLDnO6wEzpauS,10.323811,B00004S36T,4.0,1.0,1006819200,buzz buzz
X9cgNJkBLDnO6wEzsjyu,10.323811,B000J10KT6,4.0,1.0,1179014400,Sassy and fun!
Y9UgNJkBLDnO6wEzE6I7,10.323811,B000008QV5,5.0,1.0,1042416000,Great music
qfoyNJkBLDnO6wEzyodi,10.323811,B00000EJY7,5.0,1.0,1042416000,Great music
s_wzNJkBLDnO6wEzqGFe,10.323811,B00004NS0I,3.0,1.0,945216000,Catchy
8QM3NJkBLDnO6wEzKEbm,10.323811,B000FFJ80S,4.0,1.0,1179014400,Sassy and fun!
AAI2NJkBLDnO6wEz76rv,10.323811,B0001M7P78,5.0,1.0,1087171200,Good Music
Gx1ENJkBLDnO6wEzaSgs,10.323811,B00005HMKA,4.0,1.0,1177891200,I like it!
uOkqNJkBLDnO6wEzdyI_,10.251945,B0000DESZZ,5.0,0.8,1037836800,Great for a first CD!
rr4TNJkBLDnO6wEzD5Vo,10.251945,B00005A09V,5.0,1.0,1021680000,My Kids love it!
O-QnNJkBLDnO6wEzuAy5,10.251945,B000069F0C,5.0,0.8,1037836800,Great for a first CD!
TgY4NJkBLDnO6wEznBf3,10.251945,B000PSHYJM,5.0,0.8,1037836800,Great for a first CD!
79YgNJkBLDnO6wEzWFo_,10.251945,B0001ME5LC,5.0,0.8,1037836800,Great for a first CD!
nxA9NJkBLDnO6wEzyFdC,10.251945,B00009Y2JC,5.0,0.8,1037836800,Great for a first CD!
8gE2NJkBLDnO6wEzXYMa,10.181072,B00000J7SR,3.0,1.0,932083200,quite disappointing but still ok
kvkyNJkBLDnO6wEzefSb,10.181072,B00000JIGG,3.0,1.0,932083200,quite disappointing but still ok
ccwaNJkBLDnO6wEzq8La,10.181072,B00000JTYY,3.0,1.0,932083200,quite disappointing but still ok
ORI-NJkBLDnO6wEzqiWA,10.181072,B000GKZN9M,5.0,1.0,1169078400,Little Bird
YswaNJkBLDnO6wEzcQ2o,10.111174,B00020H2M2,5.0,1.0,1249948800,the very best of charles trenet
0fYwNJkBLDnO6wEzhUew,10.111174,B00009W5C3,5.0,1.0,1063065600,NIGHT TREE
5PszNJkBLDnO6wEzZfvP,10.111174,B000002JX1,5.0,1.0,927417600,Instant nostalgia
l9YgNJkBLDnO6wEzSzzt,10.111174,B000005J75,5.0,1.0,927417600,Instant nostalgia
xRpDNJkBLDnO6wEzLKkN,10.111174,6303911579,5.0,1.0,1043280000,His favorite!!
